"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://arclo.pro/","0","","","","","","Indexable",""
"https://arclo.pro/assets/index-C8CoKIPD.js","0","","","","","","Indexable",""
"https://arclo.pro/assets/index-DhVV5IjJ.css","0","","","","","","Indexable",""
