"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Manrope:wght@400;500;600;700;800&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0.040","",""
"https://www.googletagmanager.com/gtag/js?id=G-VG1MTR9H5Y","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.188","",""
